,filename,iterations,pop_size,global_best
0,ftv33.atsp,100,5,1939
1,ftv33.atsp,100,10,2025
2,ftv33.atsp,100,20,2035
3,ftv33.atsp,100,40,2075
4,ftv33.atsp,1000,5,1984
5,ftv33.atsp,1000,10,2038
6,ftv33.atsp,1000,20,1734
7,ftv33.atsp,1000,40,1828
8,ftv33.atsp,10000,5,1746
9,ftv33.atsp,10000,10,1638
10,ftv33.atsp,10000,20,1487
11,ftv33.atsp,10000,40,1376
12,ftv38.atsp,100,5,2622
13,ftv38.atsp,100,10,2484
14,ftv38.atsp,100,20,2633
15,ftv38.atsp,100,40,2496
16,ftv38.atsp,1000,5,2358
17,ftv38.atsp,1000,10,2343
18,ftv38.atsp,1000,20,2435
19,ftv38.atsp,1000,40,2120
20,ftv38.atsp,10000,5,2128
21,ftv38.atsp,10000,10,2106
22,ftv38.atsp,10000,20,1872
23,ftv38.atsp,10000,40,1684
24,p43.atsp,100,5,5653
25,p43.atsp,100,10,5689
26,p43.atsp,100,20,5689
27,p43.atsp,100,40,5689
28,p43.atsp,1000,5,5665
29,p43.atsp,1000,10,5659
30,p43.atsp,1000,20,5675
31,p43.atsp,1000,40,5669
32,p43.atsp,10000,5,5681
33,p43.atsp,10000,10,5677
34,p43.atsp,10000,20,5659
35,p43.atsp,10000,40,5623
36,br17.atsp,100,5,41
37,br17.atsp,100,10,39
38,br17.atsp,100,20,50
39,br17.atsp,100,40,41
40,br17.atsp,1000,5,39
41,br17.atsp,1000,10,39
42,br17.atsp,1000,20,39
43,br17.atsp,1000,40,39
44,br17.atsp,10000,5,39
45,br17.atsp,10000,10,39
46,br17.atsp,10000,20,39
47,br17.atsp,10000,40,39
48,ftv47.atsp,100,5,3821
49,ftv47.atsp,100,10,3567
50,ftv47.atsp,100,20,3848
51,ftv47.atsp,100,40,3491
52,ftv47.atsp,1000,5,3291
53,ftv47.atsp,1000,10,3275
54,ftv47.atsp,1000,20,2933
55,ftv47.atsp,1000,40,2937
56,ftv47.atsp,10000,5,3294
57,ftv47.atsp,10000,10,3067
58,ftv47.atsp,10000,20,2577
59,ftv47.atsp,10000,40,2379
60,ry48p.atsp,100,5,17080
61,ry48p.atsp,100,10,16840
62,ry48p.atsp,100,20,17665
63,ry48p.atsp,100,40,17383
64,ry48p.atsp,1000,5,17486
65,ry48p.atsp,1000,10,16491
66,ry48p.atsp,1000,20,16592
67,ry48p.atsp,1000,40,17111
68,ry48p.atsp,10000,5,16281
69,ry48p.atsp,10000,10,17177
70,ry48p.atsp,10000,20,15958
71,ry48p.atsp,10000,40,16070
72,ft70.atsp,100,5,54968
73,ft70.atsp,100,10,55401
74,ft70.atsp,100,20,53123
75,ft70.atsp,100,40,53019
76,ft70.atsp,1000,5,54168
77,ft70.atsp,1000,10,51366
78,ft70.atsp,1000,20,52503
79,ft70.atsp,1000,40,47237
80,ft70.atsp,10000,5,53478
81,ft70.atsp,10000,10,46047
82,ft70.atsp,10000,20,42588
83,ft70.atsp,10000,40,42456
84,ftv35.atsp,100,5,2450
85,ftv35.atsp,100,10,2446
86,ftv35.atsp,100,20,2506
87,ftv35.atsp,100,40,2363
88,ftv35.atsp,1000,5,2324
89,ftv35.atsp,1000,10,2385
90,ftv35.atsp,1000,20,2274
91,ftv35.atsp,1000,40,2053
92,ftv35.atsp,10000,5,2131
93,ftv35.atsp,10000,10,1964
94,ftv35.atsp,10000,20,1859
95,ftv35.atsp,10000,40,1503
96,ftv44.atsp,100,5,2884
97,ftv44.atsp,100,10,2890
98,ftv44.atsp,100,20,2869
99,ftv44.atsp,100,40,2696
100,ftv44.atsp,1000,5,2712
101,ftv44.atsp,1000,10,2686
102,ftv44.atsp,1000,20,2374
103,ftv44.atsp,1000,40,2215
104,ftv44.atsp,10000,5,2424
105,ftv44.atsp,10000,10,2137
106,ftv44.atsp,10000,20,1906
107,ftv44.atsp,10000,40,1752
108,ft53.atsp,100,5,12582
109,ft53.atsp,100,10,12787
110,ft53.atsp,100,20,12048
111,ft53.atsp,100,40,12667
112,ft53.atsp,1000,5,12029
113,ft53.atsp,1000,10,11055
114,ft53.atsp,1000,20,10940
115,ft53.atsp,1000,40,11021
116,ft53.atsp,10000,5,11656
117,ft53.atsp,10000,10,9195
118,ft53.atsp,10000,20,10463
119,ft53.atsp,10000,40,8158
