,filename,iterations,pop_size,global_best
0,ftv33.atsp,100,5,2144
1,ftv33.atsp,100,10,2144
2,ftv33.atsp,100,20,2144
3,ftv33.atsp,100,40,2075
4,ftv33.atsp,1000,5,2067
5,ftv33.atsp,1000,10,1752
6,ftv33.atsp,1000,20,1804
7,ftv33.atsp,1000,40,1753
8,ftv33.atsp,10000,5,1812
9,ftv33.atsp,10000,10,1614
10,ftv33.atsp,10000,20,1582
11,ftv33.atsp,10000,40,1375
12,ftv38.atsp,100,5,2627
13,ftv38.atsp,100,10,2674
14,ftv38.atsp,100,20,2674
15,ftv38.atsp,100,40,2514
16,ftv38.atsp,1000,5,2654
17,ftv38.atsp,1000,10,2279
18,ftv38.atsp,1000,20,2332
19,ftv38.atsp,1000,40,2046
20,ftv38.atsp,10000,5,2245
21,ftv38.atsp,10000,10,1962
22,ftv38.atsp,10000,20,1820
23,ftv38.atsp,10000,40,1664
24,p43.atsp,100,5,5686
25,p43.atsp,100,10,5686
26,p43.atsp,100,20,5686
27,p43.atsp,100,40,5686
28,p43.atsp,1000,5,5675
29,p43.atsp,1000,10,5671
30,p43.atsp,1000,20,5677
31,p43.atsp,1000,40,5671
32,p43.atsp,10000,5,5665
33,p43.atsp,10000,10,5673
34,p43.atsp,10000,20,5644
35,p43.atsp,10000,40,5629
36,br17.atsp,100,5,52
37,br17.atsp,100,10,53
38,br17.atsp,100,20,42
39,br17.atsp,100,40,44
40,br17.atsp,1000,5,39
41,br17.atsp,1000,10,40
42,br17.atsp,1000,20,39
43,br17.atsp,1000,40,39
44,br17.atsp,10000,5,39
45,br17.atsp,10000,10,40
46,br17.atsp,10000,20,39
47,br17.atsp,10000,40,39
48,ftv47.atsp,100,5,3493
49,ftv47.atsp,100,10,3526
50,ftv47.atsp,100,20,3526
51,ftv47.atsp,100,40,3526
52,ftv47.atsp,1000,5,3349
53,ftv47.atsp,1000,10,3161
54,ftv47.atsp,1000,20,3078
55,ftv47.atsp,1000,40,2825
56,ftv47.atsp,10000,5,2800
57,ftv47.atsp,10000,10,2788
58,ftv47.atsp,10000,20,2571
59,ftv47.atsp,10000,40,2144
60,ry48p.atsp,100,5,19197
61,ry48p.atsp,100,10,18985
62,ry48p.atsp,100,20,19446
63,ry48p.atsp,100,40,19154
64,ry48p.atsp,1000,5,17127
65,ry48p.atsp,1000,10,17479
66,ry48p.atsp,1000,20,17816
67,ry48p.atsp,1000,40,18304
68,ry48p.atsp,10000,5,17526
69,ry48p.atsp,10000,10,17123
70,ry48p.atsp,10000,20,16648
71,ry48p.atsp,10000,40,15941
72,ft70.atsp,100,5,55810
73,ft70.atsp,100,10,55297
74,ft70.atsp,100,20,56001
75,ft70.atsp,100,40,52441
76,ft70.atsp,1000,5,54627
77,ft70.atsp,1000,10,52336
78,ft70.atsp,1000,20,51182
79,ft70.atsp,1000,40,49757
80,ft70.atsp,10000,5,48952
81,ft70.atsp,10000,10,47724
82,ft70.atsp,10000,20,47998
83,ft70.atsp,10000,40,42589
84,ftv35.atsp,100,5,2677
85,ftv35.atsp,100,10,2672
86,ftv35.atsp,100,20,2729
87,ftv35.atsp,100,40,2506
88,ftv35.atsp,1000,5,2541
89,ftv35.atsp,1000,10,2001
90,ftv35.atsp,1000,20,2247
91,ftv35.atsp,1000,40,1889
92,ftv35.atsp,10000,5,2090
93,ftv35.atsp,10000,10,2023
94,ftv35.atsp,10000,20,1885
95,ftv35.atsp,10000,40,1600
96,ftv44.atsp,100,5,2741
97,ftv44.atsp,100,10,2741
98,ftv44.atsp,100,20,2741
99,ftv44.atsp,100,40,2693
100,ftv44.atsp,1000,5,2741
101,ftv44.atsp,1000,10,2688
102,ftv44.atsp,1000,20,2422
103,ftv44.atsp,1000,40,2607
104,ftv44.atsp,10000,5,2641
105,ftv44.atsp,10000,10,2433
106,ftv44.atsp,10000,20,2243
107,ftv44.atsp,10000,40,1781
108,ft53.atsp,100,5,13062
109,ft53.atsp,100,10,12936
110,ft53.atsp,100,20,12534
111,ft53.atsp,100,40,11810
112,ft53.atsp,1000,5,12058
113,ft53.atsp,1000,10,12465
114,ft53.atsp,1000,20,11017
115,ft53.atsp,1000,40,10006
116,ft53.atsp,10000,5,10299
117,ft53.atsp,10000,10,9893
118,ft53.atsp,10000,20,8318
119,ft53.atsp,10000,40,7953
