,filename,iterations,pop_size,global_best
0,ftv33.atsp,100,5,2144
1,ftv33.atsp,100,10,1984
2,ftv33.atsp,100,20,2060
3,ftv33.atsp,100,40,1997
4,ftv33.atsp,1000,5,1897
5,ftv33.atsp,1000,10,1910
6,ftv33.atsp,1000,20,1853
7,ftv33.atsp,1000,40,1854
8,ftv33.atsp,10000,5,1601
9,ftv33.atsp,10000,10,1671
10,ftv33.atsp,10000,20,1918
11,ftv33.atsp,10000,40,1436
12,ftv38.atsp,100,5,2600
13,ftv38.atsp,100,10,2688
14,ftv38.atsp,100,20,2530
15,ftv38.atsp,100,40,2628
16,ftv38.atsp,1000,5,2398
17,ftv38.atsp,1000,10,2241
18,ftv38.atsp,1000,20,2025
19,ftv38.atsp,1000,40,2188
20,ftv38.atsp,10000,5,2403
21,ftv38.atsp,10000,10,1987
22,ftv38.atsp,10000,20,2281
23,ftv38.atsp,10000,40,1650
24,p43.atsp,100,5,5665
25,p43.atsp,100,10,5669
26,p43.atsp,100,20,5669
27,p43.atsp,100,40,5666
28,p43.atsp,1000,5,5669
29,p43.atsp,1000,10,5656
30,p43.atsp,1000,20,5657
31,p43.atsp,1000,40,5662
32,p43.atsp,10000,5,5636
33,p43.atsp,10000,10,5660
34,p43.atsp,10000,20,5654
35,p43.atsp,10000,40,5637
36,br17.atsp,100,5,49
37,br17.atsp,100,10,44
38,br17.atsp,100,20,48
39,br17.atsp,100,40,45
40,br17.atsp,1000,5,44
41,br17.atsp,1000,10,42
42,br17.atsp,1000,20,39
43,br17.atsp,1000,40,39
44,br17.atsp,10000,5,40
45,br17.atsp,10000,10,40
46,br17.atsp,10000,20,39
47,br17.atsp,10000,40,39
48,ftv47.atsp,100,5,3801
49,ftv47.atsp,100,10,3701
50,ftv47.atsp,100,20,3681
51,ftv47.atsp,100,40,3584
52,ftv47.atsp,1000,5,3411
53,ftv47.atsp,1000,10,3335
54,ftv47.atsp,1000,20,3491
55,ftv47.atsp,1000,40,2943
56,ftv47.atsp,10000,5,2902
57,ftv47.atsp,10000,10,2970
58,ftv47.atsp,10000,20,2845
59,ftv47.atsp,10000,40,2366
60,ry48p.atsp,100,5,16963
61,ry48p.atsp,100,10,17005
62,ry48p.atsp,100,20,17986
63,ry48p.atsp,100,40,17056
64,ry48p.atsp,1000,5,16559
65,ry48p.atsp,1000,10,17578
66,ry48p.atsp,1000,20,16954
67,ry48p.atsp,1000,40,17331
68,ry48p.atsp,10000,5,17932
69,ry48p.atsp,10000,10,16468
70,ry48p.atsp,10000,20,16424
71,ry48p.atsp,10000,40,15231
72,ft70.atsp,100,5,54756
73,ft70.atsp,100,10,55335
74,ft70.atsp,100,20,55085
75,ft70.atsp,100,40,53386
76,ft70.atsp,1000,5,54635
77,ft70.atsp,1000,10,50011
78,ft70.atsp,1000,20,48813
79,ft70.atsp,1000,40,46163
80,ft70.atsp,10000,5,49644
81,ft70.atsp,10000,10,48706
82,ft70.atsp,10000,20,46477
83,ft70.atsp,10000,40,43862
84,ftv35.atsp,100,5,2368
85,ftv35.atsp,100,10,2421
86,ftv35.atsp,100,20,2421
87,ftv35.atsp,100,40,2358
88,ftv35.atsp,1000,5,2358
89,ftv35.atsp,1000,10,2358
90,ftv35.atsp,1000,20,2011
91,ftv35.atsp,1000,40,1963
92,ftv35.atsp,10000,5,1909
93,ftv35.atsp,10000,10,2292
94,ftv35.atsp,10000,20,1882
95,ftv35.atsp,10000,40,1517
96,ftv44.atsp,100,5,2874
97,ftv44.atsp,100,10,2883
98,ftv44.atsp,100,20,2826
99,ftv44.atsp,100,40,2560
100,ftv44.atsp,1000,5,2504
101,ftv44.atsp,1000,10,2557
102,ftv44.atsp,1000,20,2626
103,ftv44.atsp,1000,40,2554
104,ftv44.atsp,10000,5,2499
105,ftv44.atsp,10000,10,2389
106,ftv44.atsp,10000,20,2488
107,ftv44.atsp,10000,40,1922
108,ft53.atsp,100,5,12861
109,ft53.atsp,100,10,13585
110,ft53.atsp,100,20,13891
111,ft53.atsp,100,40,13423
112,ft53.atsp,1000,5,13115
113,ft53.atsp,1000,10,12898
114,ft53.atsp,1000,20,11660
115,ft53.atsp,1000,40,10818
116,ft53.atsp,10000,5,12180
117,ft53.atsp,10000,10,10384
118,ft53.atsp,10000,20,11478
119,ft53.atsp,10000,40,9214
