,iterations,pop_size,algorithm,global_best,optimum
180,100,5,sym_results_CNA_start_checks_no_keep_best/,13198.0,10628
181,100,10,sym_results_CNA_start_checks_no_keep_best/,13198.0,10628
182,100,20,sym_results_CNA_start_checks_no_keep_best/,13198.0,10628
183,100,40,sym_results_CNA_start_checks_no_keep_best/,13198.0,10628
184,1000,5,sym_results_CNA_start_checks_no_keep_best/,13112.0,10628
185,1000,10,sym_results_CNA_start_checks_no_keep_best/,12816.0,10628
186,1000,20,sym_results_CNA_start_checks_no_keep_best/,12883.0,10628
187,1000,40,sym_results_CNA_start_checks_no_keep_best/,12876.0,10628
188,10000,5,sym_results_CNA_start_checks_no_keep_best/,12934.0,10628
189,10000,10,sym_results_CNA_start_checks_no_keep_best/,12564.0,10628
190,10000,20,sym_results_CNA_start_checks_no_keep_best/,12395.0,10628
191,10000,40,sym_results_CNA_start_checks_no_keep_best/,11923.0,10628
