,filename,iterations,pop_size,global_best
0,ftv33.atsp,100,5,2856
1,ftv33.atsp,100,10,2755
2,ftv33.atsp,100,20,2650
3,ftv33.atsp,100,40,2754
4,ftv33.atsp,1000,5,2045
5,ftv33.atsp,1000,10,2480
6,ftv33.atsp,1000,20,1797
7,ftv33.atsp,1000,40,1708
8,ftv33.atsp,10000,5,1885
9,ftv33.atsp,10000,10,1694
10,ftv33.atsp,10000,20,1540
11,ftv33.atsp,10000,40,1448
12,ftv38.atsp,100,5,3485
13,ftv38.atsp,100,10,3379
14,ftv38.atsp,100,20,3212
15,ftv38.atsp,100,40,3045
16,ftv38.atsp,1000,5,2653
17,ftv38.atsp,1000,10,2490
18,ftv38.atsp,1000,20,2909
19,ftv38.atsp,1000,40,2253
20,ftv38.atsp,10000,5,2568
21,ftv38.atsp,10000,10,1980
22,ftv38.atsp,10000,20,2246
23,ftv38.atsp,10000,40,1735
24,p43.atsp,100,5,6360
25,p43.atsp,100,10,11429
26,p43.atsp,100,20,6040
27,p43.atsp,100,40,5939
28,p43.atsp,1000,5,11439
29,p43.atsp,1000,10,5820
30,p43.atsp,1000,20,5804
31,p43.atsp,1000,40,5793
32,p43.atsp,10000,5,5681
33,p43.atsp,10000,10,5636
34,p43.atsp,10000,20,5645
35,p43.atsp,10000,40,5634
36,br17.atsp,100,5,49
37,br17.atsp,100,10,74
38,br17.atsp,100,20,42
39,br17.atsp,100,40,40
40,br17.atsp,1000,5,40
41,br17.atsp,1000,10,40
42,br17.atsp,1000,20,45
43,br17.atsp,1000,40,39
44,br17.atsp,10000,5,41
45,br17.atsp,10000,10,41
46,br17.atsp,10000,20,39
47,br17.atsp,10000,40,39
48,ftv47.atsp,100,5,4697
49,ftv47.atsp,100,10,4568
50,ftv47.atsp,100,20,4240
51,ftv47.atsp,100,40,4253
52,ftv47.atsp,1000,5,3300
53,ftv47.atsp,1000,10,3329
54,ftv47.atsp,1000,20,2903
55,ftv47.atsp,1000,40,2705
56,ftv47.atsp,10000,5,3374
57,ftv47.atsp,10000,10,3021
58,ftv47.atsp,10000,20,2506
59,ftv47.atsp,10000,40,1997
60,ry48p.atsp,100,5,39444
61,ry48p.atsp,100,10,36736
62,ry48p.atsp,100,20,32552
63,ry48p.atsp,100,40,27419
64,ry48p.atsp,1000,5,24411
65,ry48p.atsp,1000,10,20517
66,ry48p.atsp,1000,20,20790
67,ry48p.atsp,1000,40,19034
68,ry48p.atsp,10000,5,21776
69,ry48p.atsp,10000,10,20709
70,ry48p.atsp,10000,20,22636
71,ry48p.atsp,10000,40,16517
72,ft70.atsp,100,5,63629
73,ft70.atsp,100,10,62080
74,ft70.atsp,100,20,61163
75,ft70.atsp,100,40,58727
76,ft70.atsp,1000,5,52142
77,ft70.atsp,1000,10,50809
78,ft70.atsp,1000,20,49102
79,ft70.atsp,1000,40,46724
80,ft70.atsp,10000,5,45405
81,ft70.atsp,10000,10,45026
82,ft70.atsp,10000,20,42686
83,ft70.atsp,10000,40,44720
84,ftv35.atsp,100,5,3696
85,ftv35.atsp,100,10,3297
86,ftv35.atsp,100,20,2728
87,ftv35.atsp,100,40,2889
88,ftv35.atsp,1000,5,2549
89,ftv35.atsp,1000,10,2521
90,ftv35.atsp,1000,20,2071
91,ftv35.atsp,1000,40,2115
92,ftv35.atsp,10000,5,2268
93,ftv35.atsp,10000,10,2180
94,ftv35.atsp,10000,20,2123
95,ftv35.atsp,10000,40,1611
96,ftv44.atsp,100,5,4079
97,ftv44.atsp,100,10,4533
98,ftv44.atsp,100,20,4417
99,ftv44.atsp,100,40,3527
100,ftv44.atsp,1000,5,2658
101,ftv44.atsp,1000,10,2998
102,ftv44.atsp,1000,20,2637
103,ftv44.atsp,1000,40,2622
104,ftv44.atsp,10000,5,3024
105,ftv44.atsp,10000,10,2321
106,ftv44.atsp,10000,20,2040
107,ftv44.atsp,10000,40,1874
108,ft53.atsp,100,5,19523
109,ft53.atsp,100,10,17143
110,ft53.atsp,100,20,17804
111,ft53.atsp,100,40,16258
112,ft53.atsp,1000,5,14736
113,ft53.atsp,1000,10,15107
114,ft53.atsp,1000,20,11278
115,ft53.atsp,1000,40,9330
116,ft53.atsp,10000,5,9899
117,ft53.atsp,10000,10,9094
118,ft53.atsp,10000,20,9387
119,ft53.atsp,10000,40,7631
