,filename,iterations,pop_size,global_best
0,u159.tsp,100,5,354778.5939819739
1,u159.tsp,100,10,344170.8186654736
2,u159.tsp,100,20,335982.88217988214
3,u159.tsp,100,40,324493.0543215481
4,u159.tsp,1000,5,232605.3077164502
5,u159.tsp,1000,10,206439.37125348503
6,u159.tsp,1000,20,191278.57207719938
7,u159.tsp,1000,40,174389.83043017058
8,u159.tsp,10000,5,172467.26220327368
9,u159.tsp,10000,10,172119.8869594547
10,u159.tsp,10000,20,135372.34387534228
11,u159.tsp,10000,40,114664.72465543389
12,eil51.tsp,100,5,1359.1353351728717
13,eil51.tsp,100,10,1059.7734651664837
14,eil51.tsp,100,20,960.8134927374394
15,eil51.tsp,100,40,1048.8774042596065
16,eil51.tsp,1000,5,928.7119360036203
17,eil51.tsp,1000,10,797.716676538436
18,eil51.tsp,1000,20,707.558532468205
19,eil51.tsp,1000,40,691.3928729344644
20,eil51.tsp,10000,5,774.4556374947612
21,eil51.tsp,10000,10,568.0933343230407
22,eil51.tsp,10000,20,528.8499057231298
23,eil51.tsp,10000,40,493.0412103559938
24,ulysses16.tsp,100,5,7616.0
25,ulysses16.tsp,100,10,8173.0
26,ulysses16.tsp,100,20,7887.0
27,ulysses16.tsp,100,40,7504.0
28,ulysses16.tsp,1000,5,7237.0
29,ulysses16.tsp,1000,10,7061.0
30,ulysses16.tsp,1000,20,7199.0
31,ulysses16.tsp,1000,40,6809.0
32,ulysses16.tsp,10000,5,6954.0
33,ulysses16.tsp,10000,10,6885.0
34,ulysses16.tsp,10000,20,6881.0
35,ulysses16.tsp,10000,40,6809.0
36,kroA150.tsp,100,5,205684.55937979868
37,kroA150.tsp,100,10,197530.0408569502
38,kroA150.tsp,100,20,184715.96010265916
39,kroA150.tsp,100,40,181881.01884824046
40,kroA150.tsp,1000,5,124144.25868317384
41,kroA150.tsp,1000,10,122658.49111856184
42,kroA150.tsp,1000,20,105058.67207490258
43,kroA150.tsp,1000,40,105632.07511463237
44,kroA150.tsp,10000,5,88590.34045336163
45,kroA150.tsp,10000,10,77102.2120135221
46,kroA150.tsp,10000,20,94448.74625855275
47,kroA150.tsp,10000,40,52850.13123108425
48,ulysses22.tsp,100,5,10693.0
49,ulysses22.tsp,100,10,10082.0
50,ulysses22.tsp,100,20,8379.0
51,ulysses22.tsp,100,40,8183.0
52,ulysses22.tsp,1000,5,8545.0
53,ulysses22.tsp,1000,10,8214.0
54,ulysses22.tsp,1000,20,7677.0
55,ulysses22.tsp,1000,40,7414.0
56,ulysses22.tsp,10000,5,7831.0
57,ulysses22.tsp,10000,10,7237.0
58,ulysses22.tsp,10000,20,7178.0
