,filename,iterations,pop_size,global_best
0,u159.tsp,100,5,55370.91490233432
1,u159.tsp,100,10,55370.91490233432
2,u159.tsp,100,20,55370.91490233432
3,u159.tsp,100,40,53349.32592570157
4,u159.tsp,1000,5,51432.92166757805
5,u159.tsp,1000,10,52767.827167960706
6,u159.tsp,1000,20,51329.594678246125
7,u159.tsp,1000,40,52179.174725431854
8,u159.tsp,10000,5,53587.25574995704
9,u159.tsp,10000,10,49865.762715913595
10,u159.tsp,10000,20,50502.01706184895
11,u159.tsp,10000,40,52062.31468522839
12,eil51.tsp,100,5,521.2987464810128
13,eil51.tsp,100,10,516.3882279996733
14,eil51.tsp,100,20,525.3819676308941
15,eil51.tsp,100,40,512.0910452928176
16,eil51.tsp,1000,5,509.0484815730148
17,eil51.tsp,1000,10,514.6854037934019
18,eil51.tsp,1000,20,502.6690579386385
19,eil51.tsp,1000,40,482.5558382172657
20,eil51.tsp,10000,5,499.5060027483556
21,eil51.tsp,10000,10,496.7317457161415
22,eil51.tsp,10000,20,508.0409313993971
23,eil51.tsp,10000,40,481.2367319538492
24,ulysses16.tsp,100,5,8005.0
25,ulysses16.tsp,100,10,7853.0
26,ulysses16.tsp,100,20,6846.0
27,ulysses16.tsp,100,40,7048.0
28,ulysses16.tsp,1000,5,6978.0
29,ulysses16.tsp,1000,10,7037.0
30,ulysses16.tsp,1000,20,6882.0
31,ulysses16.tsp,1000,40,7006.0
32,ulysses16.tsp,10000,5,6969.0
33,ulysses16.tsp,10000,10,6997.0
34,ulysses16.tsp,10000,20,6809.0
35,ulysses16.tsp,10000,40,6881.0
36,kroA150.tsp,100,5,33843.383308156685
37,kroA150.tsp,100,10,34067.70942964734
38,kroA150.tsp,100,20,34027.827169011674
39,kroA150.tsp,100,40,34067.70942964734
40,kroA150.tsp,1000,5,33869.4511381635
41,kroA150.tsp,1000,10,33675.18989578177
42,kroA150.tsp,1000,20,33504.263818041756
43,kroA150.tsp,1000,40,33459.023033435384
44,kroA150.tsp,10000,5,33493.76991544017
45,kroA150.tsp,10000,10,33790.04231328789
46,kroA150.tsp,10000,20,33119.25294735163
47,kroA150.tsp,10000,40,32851.87329458988
48,ulysses22.tsp,100,5,7842.0
49,ulysses22.tsp,100,10,7842.0
50,ulysses22.tsp,100,20,7842.0
51,ulysses22.tsp,100,40,7477.0
52,ulysses22.tsp,1000,5,7842.0
53,ulysses22.tsp,1000,10,7535.0
54,ulysses22.tsp,1000,20,7221.0
55,ulysses22.tsp,1000,40,7160.0
56,ulysses22.tsp,10000,5,7516.0
