,filename,iterations,pop_size,global_best
0,u159.tsp,100,5,55370.91490233432
1,u159.tsp,100,10,55370.91490233432
2,u159.tsp,100,20,55370.91490233432
3,u159.tsp,100,40,55370.91490233432
4,u159.tsp,1000,5,51669.42077757769
5,u159.tsp,1000,10,55071.97614579953
6,u159.tsp,1000,20,51139.92805327411
7,u159.tsp,1000,40,55370.91490233432
8,u159.tsp,10000,5,54849.49284334372
9,u159.tsp,10000,10,52515.136486371346
10,u159.tsp,10000,20,53014.97425549739
11,u159.tsp,10000,40,50502.01706184895
12,eil51.tsp,100,5,520.5334047817342
13,eil51.tsp,100,10,520.5334047817342
14,eil51.tsp,100,20,473.1203135381813
15,eil51.tsp,100,40,520.5334047817342
16,eil51.tsp,1000,5,513.4348069433894
17,eil51.tsp,1000,10,498.23680225969605
18,eil51.tsp,1000,20,481.6750520508975
19,eil51.tsp,1000,40,466.11387107125694
20,eil51.tsp,10000,5,509.3498552459063
21,eil51.tsp,10000,10,468.4624352818556
22,eil51.tsp,10000,20,464.8224595029945
23,eil51.tsp,10000,40,476.9867289557621
24,ulysses16.tsp,100,5,8301.0
25,ulysses16.tsp,100,10,7234.0
26,ulysses16.tsp,100,20,6943.0
27,ulysses16.tsp,100,40,6948.0
28,ulysses16.tsp,1000,5,7346.0
29,ulysses16.tsp,1000,10,6883.0
30,ulysses16.tsp,1000,20,6809.0
31,ulysses16.tsp,1000,40,6918.0
32,ulysses16.tsp,10000,5,6956.0
33,ulysses16.tsp,10000,10,6881.0
34,ulysses16.tsp,10000,20,6883.0
35,ulysses16.tsp,10000,40,6860.0
36,kroA150.tsp,100,5,32932.29422183883
37,kroA150.tsp,100,10,32932.29422183883
38,kroA150.tsp,100,20,32932.29422183883
39,kroA150.tsp,100,40,32932.29422183883
40,kroA150.tsp,1000,5,32932.29422183883
41,kroA150.tsp,1000,10,32932.29422183883
42,kroA150.tsp,1000,20,32932.29422183883
43,kroA150.tsp,1000,40,32932.29422183883
44,kroA150.tsp,10000,5,32846.64857764701
45,kroA150.tsp,10000,10,32721.872027613415
46,kroA150.tsp,10000,20,32493.12207793642
47,kroA150.tsp,10000,40,32705.737348851064
48,ulysses22.tsp,100,5,8408.0
49,ulysses22.tsp,100,10,7792.0
50,ulysses22.tsp,100,20,7513.0
51,ulysses22.tsp,100,40,7561.0
52,ulysses22.tsp,1000,5,7490.0
53,ulysses22.tsp,1000,10,7246.0
54,ulysses22.tsp,1000,20,7327.0
55,ulysses22.tsp,1000,40,7086.0
56,ulysses22.tsp,10000,5,7452.0
