,filename,iterations,pop_size,global_best
0,u159.tsp,100,5,55370.91490233432
1,u159.tsp,100,10,54301.13146101592
2,u159.tsp,100,20,53333.17544884985
3,u159.tsp,100,40,53937.37328111719
4,u159.tsp,1000,5,51452.67964391111
5,u159.tsp,1000,10,50987.22034777325
6,u159.tsp,1000,20,50865.860750507425
7,u159.tsp,1000,40,53152.380056037415
8,u159.tsp,10000,5,54155.414774964454
9,u159.tsp,10000,10,51261.822221311246
10,u159.tsp,10000,20,50789.66233870039
11,u159.tsp,10000,40,50396.379234462656
12,eil51.tsp,100,5,539.9950069613609
13,eil51.tsp,100,10,539.9839526959394
14,eil51.tsp,100,20,539.9950069613609
15,eil51.tsp,100,40,526.6201735142921
16,eil51.tsp,1000,5,532.0713809624862
17,eil51.tsp,1000,10,506.4951117757397
18,eil51.tsp,1000,20,532.071380962486
19,eil51.tsp,1000,40,525.4630289579236
20,eil51.tsp,10000,5,525.5921641023089
21,eil51.tsp,10000,10,513.4515883526122
22,eil51.tsp,10000,20,519.6789617364224
23,eil51.tsp,10000,40,451.3221710024249
24,ulysses16.tsp,100,5,7573.0
25,ulysses16.tsp,100,10,7924.0
26,ulysses16.tsp,100,20,7229.0
27,ulysses16.tsp,100,40,7058.0
28,ulysses16.tsp,1000,5,7024.0
29,ulysses16.tsp,1000,10,7687.0
30,ulysses16.tsp,1000,20,6956.0
31,ulysses16.tsp,1000,40,6883.0
32,ulysses16.tsp,10000,5,7271.0
33,ulysses16.tsp,10000,10,7006.0
34,ulysses16.tsp,10000,20,6860.0
35,ulysses16.tsp,10000,40,6809.0
36,kroA150.tsp,100,5,33127.88429757245
37,kroA150.tsp,100,10,33405.47216132605
38,kroA150.tsp,100,20,32388.897143837796
39,kroA150.tsp,100,40,33209.338998224724
40,kroA150.tsp,1000,5,33115.725662932906
41,kroA150.tsp,1000,10,32366.1927832478
42,kroA150.tsp,1000,20,32248.56934911076
43,kroA150.tsp,1000,40,32275.32349517843
44,kroA150.tsp,10000,5,32575.871611255283
45,kroA150.tsp,10000,10,32297.861509653267
46,kroA150.tsp,10000,20,32238.681496577414
47,kroA150.tsp,10000,40,32007.29947116572
48,ulysses22.tsp,100,5,8099.0
49,ulysses22.tsp,100,10,7902.0
50,ulysses22.tsp,100,20,7465.0
51,ulysses22.tsp,100,40,7242.0
52,ulysses22.tsp,1000,5,8085.0
53,ulysses22.tsp,1000,10,7811.0
54,ulysses22.tsp,1000,20,7220.0
55,ulysses22.tsp,1000,40,7075.0
56,ulysses22.tsp,10000,5,7520.0
57,ulysses22.tsp,10000,10,7160.0
58,ulysses22.tsp,10000,20,7077.0
59,ulysses22.tsp,10000,40,7125.0
60,ch130.tsp,100,5,8625.819531383957
61,ch130.tsp,100,10,8509.350859935197
62,ch130.tsp,100,20,8568.265870176578
63,ch130.tsp,100,40,8165.416347558044
64,ch130.tsp,1000,5,8500.77371062832
65,ch130.tsp,1000,10,7862.158180106628
66,ch130.tsp,1000,20,8374.895589289394
67,ch130.tsp,1000,40,7967.62778984613
68,ch130.tsp,10000,5,8173.289789988588
69,ch130.tsp,10000,10,8268.522304529439
70,ch130.tsp,10000,20,7844.0502344053975
71,ch130.tsp,10000,40,7671.658475997389
72,eil101.tsp,100,5,792.2941718357496
73,eil101.tsp,100,10,793.059062238069
74,eil101.tsp,100,20,793.059062238069
75,eil101.tsp,100,40,793.059062238069
76,eil101.tsp,1000,5,768.8672330653429
77,eil101.tsp,1000,10,774.7239692506078
78,eil101.tsp,1000,20,776.515448567491
79,eil101.tsp,1000,40,773.9839303782932
80,eil101.tsp,10000,5,760.3945411036
81,eil101.tsp,10000,10,766.9018778328426
82,eil101.tsp,10000,20,773.5240276224565
83,eil101.tsp,10000,40,755.2275076359931
84,pr76.tsp,100,5,137239.19269615738
85,pr76.tsp,100,10,151406.4349749364
86,pr76.tsp,100,20,137463.5241378604
87,pr76.tsp,100,40,146064.2779015146
88,pr76.tsp,1000,5,147384.42810283852
89,pr76.tsp,1000,10,135849.4372929151
90,pr76.tsp,1000,20,145726.73155157926
91,pr76.tsp,1000,40,127054.85424582995
92,pr76.tsp,10000,5,129891.08846430236
93,pr76.tsp,10000,10,144891.77005228767
94,pr76.tsp,10000,20,131636.1113162959
95,pr76.tsp,10000,40,126217.48016569745
96,berlin52.tsp,100,5,8870.714979484708
97,berlin52.tsp,100,10,9170.264132625383
98,berlin52.tsp,100,20,9170.264132625383
99,berlin52.tsp,100,40,8859.044436106851
100,berlin52.tsp,1000,5,8967.14149599787
101,berlin52.tsp,1000,10,9080.661203935748
102,berlin52.tsp,1000,20,8678.990491530007
103,berlin52.tsp,1000,40,8941.6312434192
104,berlin52.tsp,10000,5,8992.60362858978
105,berlin52.tsp,10000,10,9091.179914042272
106,berlin52.tsp,10000,20,8992.60362858978
107,berlin52.tsp,10000,40,8801.308247851657
108,burma14.tsp,100,5,3764.0
109,burma14.tsp,100,10,3641.0
110,burma14.tsp,100,20,3542.0
111,burma14.tsp,100,40,3589.0
112,burma14.tsp,1000,5,3546.0
113,burma14.tsp,1000,10,3489.0
114,burma14.tsp,1000,20,3697.0
115,burma14.tsp,1000,40,3454.0
116,burma14.tsp,10000,5,3454.0
117,burma14.tsp,10000,10,3484.0
118,burma14.tsp,10000,20,3484.0
119,burma14.tsp,10000,40,3454.0
120,ch150.tsp,100,5,8211.533754726162
121,ch150.tsp,100,10,8280.353299209519
122,ch150.tsp,100,20,7938.821672793442
123,ch150.tsp,100,40,7855.978921922711
124,ch150.tsp,1000,5,8256.13249306361
125,ch150.tsp,1000,10,8117.898171448806
126,ch150.tsp,1000,20,8214.881505379526
127,ch150.tsp,1000,40,7383.844067483498
128,ch150.tsp,10000,5,8266.112631649776
129,ch150.tsp,10000,10,8290.421826013882
130,ch150.tsp,10000,20,8155.629448513745
131,ch150.tsp,10000,40,7657.632446761241
132,bier127.tsp,100,5,149345.76144394395
133,bier127.tsp,100,10,145327.57703551935
134,bier127.tsp,100,20,138396.97179560817
135,bier127.tsp,100,40,149065.9591685069
136,bier127.tsp,1000,5,136714.76250535547
137,bier127.tsp,1000,10,145319.14004507702
138,bier127.tsp,1000,20,137983.4660735744
139,bier127.tsp,1000,40,135500.33527285827
140,bier127.tsp,10000,5,145689.09324048794
141,bier127.tsp,10000,10,144531.85322360214
142,bier127.tsp,10000,20,136714.76250535544
143,bier127.tsp,10000,40,136714.76250535547
144,eil76.tsp,100,5,618.9396038691827
145,eil76.tsp,100,10,612.5722278464765
146,eil76.tsp,100,20,611.3710840136223
147,eil76.tsp,100,40,611.7703712624636
148,eil76.tsp,1000,5,605.4166301546628
149,eil76.tsp,1000,10,610.4098091599715
150,eil76.tsp,1000,20,610.4098091599715
151,eil76.tsp,1000,40,617.5942565841887
152,eil76.tsp,10000,5,618.0887775620823
153,eil76.tsp,10000,10,608.0798894789689
154,eil76.tsp,10000,20,597.6216448425002
155,eil76.tsp,10000,40,590.8046243716819
156,a280.tsp,100,5,3338.430194466223
157,a280.tsp,100,10,3338.430194466223
158,a280.tsp,100,20,3338.430194466223
159,a280.tsp,100,40,3338.430194466223
160,a280.tsp,1000,5,3317.002084045917
161,a280.tsp,1000,10,3325.959126881566
162,a280.tsp,1000,20,3318.087924088799
163,a280.tsp,1000,40,3284.3108023159502
164,a280.tsp,10000,5,3334.955706916096
165,a280.tsp,10000,10,3334.955706916096
166,a280.tsp,10000,20,3319.9085142572776
167,a280.tsp,10000,40,3327.9174924540707
168,kroC100.tsp,100,5,25138.785452772318
169,kroC100.tsp,100,10,25138.785452772318
170,kroC100.tsp,100,20,25138.785452772318
171,kroC100.tsp,100,40,25138.785452772318
172,kroC100.tsp,1000,5,25138.785452772318
173,kroC100.tsp,1000,10,25138.785452772318
174,kroC100.tsp,1000,20,25138.785452772318
175,kroC100.tsp,1000,40,25138.785452772318
176,kroC100.tsp,10000,5,25138.785452772318
177,kroC100.tsp,10000,10,25138.785452772318
178,kroC100.tsp,10000,20,25019.97654083669
179,kroC100.tsp,10000,40,24447.740235910358
180,att48.tsp,100,5,12959.0
181,att48.tsp,100,10,13013.0
182,att48.tsp,100,20,12960.0
183,att48.tsp,100,40,12601.0
184,att48.tsp,1000,5,12952.0
185,att48.tsp,1000,10,12881.0
186,att48.tsp,1000,20,12854.0
187,att48.tsp,1000,40,12605.0
188,att48.tsp,10000,5,12559.0
189,att48.tsp,10000,10,12676.0
190,att48.tsp,10000,20,12521.0
191,att48.tsp,10000,40,11585.0
